 Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Measured,Mixed,Mixed,Mixed,Mixed,Mixed
Frame,Time, X, Y, Z, Type, X, Y, Z, Type, X, Y, Z, Type
93,0.92,0,0,0,,-997.784,479.957,-71.587,Measured,-1013.587,519.984,-41.406,Measured
94,0.93,0,0,0,,-997.832,480.023,-71.53,Measured,-1013.205,519.319,-40.674,Measured
95,0.94,0,0,0,,-997.832,480.06,-71.453,Measured,-1013.167,519.306,-40.582,Measured
96,0.95,0,0,0,,-997.827,480.07,-71.382,Measured,-1013.096,519.217,-40.328,Measured
97,0.96,0,0,0,,-997.782,480.065,-71.25,Measured,-1013.111,519.251,-40.239,Measured
98,0.97,0,0,0,,-997.746,480.05,-71.157,Measured,-1013.35,519.971,-40.95,Measured
99,0.98,0,0,0,,-996.068,476.642,-73.988,Measured,-1013.542,520.011,-40.926,Measured
100,0.99,0,0,0,,-997.707,480.081,-71.057,Measured,-1013.456,519.94,-40.843,Measured
101,1,0,0,0,,-996.041,476.804,-73.677,Measured,-1013.49,520.257,-40.585,Measured
102,1.01,0,0,0,,-996.17,475.189,-78.06,Measured,-1013.509,520.127,-40.599,Measured
103,1.02,0,0,0,,-996.13,475.244,-78.095,Measured,-1013.509,520.107,-40.574,Measured
104,1.03,0,0,0,,-997.849,473.692,-80.151,Measured,-1013.043,519.465,-39.758,Measured
105,1.04,0,0,0,,-996.209,475.223,-78.25,Measured,-1013.39,519.924,-40.203,Measured
106,1.05,0,0,0,,-995.387,475.471,-75.514,Measured,-1013.496,520.169,-40.464,Measured
107,1.06,0,0,0,,-996.139,475.211,-78.218,Measured,-1013.48,520.127,-40.514,Measured
108,1.07,0,0,0,,-996.329,475.988,-75.933,Measured,-1013.509,520.121,-40.562,Measured
109,1.08,0,0,0,,-996.064,476.6,-74.048,Measured,-1015.479,523.341,-44.154,Measured
110,1.09,0,0,0,,-995.877,476.83,-73.276,Measured,-1013.549,520.359,-40.566,Measured
111,1.1,0,0,0,,-995.997,476.714,-73.751,Measured,-1013.617,520.269,-40.8,Measured
112,1.11,0,0,0,,-996.113,476.687,-74.033,Measured,-1013.557,520.218,-40.727,Measured
113,1.12,0,0,0,,-995.005,476.36,-79.629,Measured,-1013.541,520.297,-40.736,Measured
114,1.13,0,0,0,,-997.584,473.742,-80.141,Measured,-1013.071,518.688,-39.19,Measured
115,1.14,0,0,0,,-997.812,478.835,-72.765,Measured,-1013.066,518.602,-39.183,Measured
116,1.15,0,0,0,,-997.95,480.208,-71.207,Measured,-1013.067,521.268,-39.51,Measured
117,1.16,0,0,0,,-998.417,486.778,-63.985,Measured,-1013.383,520.301,-40.778,Measured
118,1.17,0,0,0,,-998.375,487.19,-63.841,Measured,-1013.584,520.321,-40.827,Measured
119,1.18,0,0,0,,-998.41,487.242,-63.529,Measured,-1013.55,520.443,-40.756,Measured
120,1.19,0,0,0,,-998.392,487.274,-63.766,Measured,-1013.668,520.386,-40.693,Measured
121,1.2,0,0,0,,-998.375,487.277,-63.787,Measured,-1013.537,520.312,-40.956,Measured
122,1.21,0,0,0,,-997.75,480.837,-70.387,Measured,-1013.686,520.289,-40.815,Measured
123,1.22,0,0,0,,-998.076,480.813,-70.45,Measured,-1013.691,520.308,-40.831,Measured
124,1.23,0,0,0,,-996.589,476.665,-75.563,Measured,-1013.32,521.298,-39.838,Measured
125,1.24,0,0,0,,-996.383,475.412,-78.211,Measured,-1013.71,519.976,-41.44,Measured
126,1.25,0,0,0,,-996.414,475.348,-78.352,Measured,-1013.565,520.324,-41.041,Measured
127,1.26,0,0,0,,-996.556,476.328,-75.875,Measured,-1013.557,520.374,-40.937,Measured
128,1.27,0,0,0,,-996.349,475.354,-78.297,Measured,-1013.617,520.268,-41.057,Measured
129,1.28,0,0,0,,-996.333,475.375,-78.385,Measured,-1013.637,520.261,-41.106,Measured
130,1.29,0,0,0,,-996.382,475.335,-78.482,Measured,-1013.634,520.293,-41.1,Measured
131,1.3,0,0,0,,-996.113,476.851,-73.811,Measured,-1013.577,520.385,-41.013,Measured
